CustomerID,R,F,M,Score,Segment
12346.0,1,1,1,1.0,Lost
12347.0,5,5,5,5.0,Champions
12348.0,2,3,5,3.3333333333333335,Need Attention
12349.0,4,4,4,4.0,Champions
12350.0,1,2,2,1.6666666666666667,Lost
12352.0,3,4,5,4.0,Loyal Customers
12353.0,1,1,1,1.0,Lost
12354.0,1,3,4,2.6666666666666665,Need Attention
12355.0,1,1,2,1.3333333333333333,Lost
12356.0,4,4,5,4.333333333333333,Champions
12357.0,3,5,5,4.333333333333333,Loyal Customers
12358.0,5,2,3,3.3333333333333335,Potential Loyalists
12359.0,5,5,5,5.0,Champions
12360.0,3,5,5,4.333333333333333,Loyal Customers
12361.0,1,1,1,1.0,Lost
12362.0,5,5,5,5.0,Champions
12363.0,2,2,3,2.3333333333333335,Need Attention
12364.0,5,4,5,4.666666666666667,Champions
12365.0,1,2,4,2.3333333333333335,Need Attention
12367.0,5,1,2,2.6666666666666665,Potential Loyalists
12370.0,3,5,5,4.333333333333333,Loyal Customers
12371.0,3,4,4,3.6666666666666665,Loyal Customers
12372.0,3,3,4,3.3333333333333335,Loyal Customers
12373.0,1,1,2,1.3333333333333333,Lost
12374.0,4,3,3,3.3333333333333335,Loyal Customers
12375.0,5,2,2,3.0,Potential Loyalists
12377.0,1,4,4,3.0,At Risk
12378.0,2,5,5,4.0,At Risk
12379.0,2,3,3,2.6666666666666665,Need Attention
12380.0,4,4,4,4.0,Champions
12381.0,5,4,4,4.333333333333333,Champions
12383.0,1,4,5,3.3333333333333335,At Risk
12384.0,4,3,2,3.0,Need Attention
12386.0,1,1,2,1.3333333333333333,Lost
12388.0,4,4,5,4.333333333333333,Champions
12390.0,2,3,3,2.6666666666666665,Need Attention
12391.0,4,4,3,3.6666666666666665,Loyal Customers
12393.0,2,4,4,3.3333333333333335,At Risk
12394.0,3,2,4,3.0,Need Attention
12395.0,4,5,5,4.666666666666667,Champions
12397.0,3,5,5,4.333333333333333,Loyal Customers
12398.0,3,4,4,3.6666666666666665,Loyal Customers
12399.0,2,4,4,3.3333333333333335,At Risk
12401.0,1,1,1,1.0,Lost
12402.0,1,1,1,1.0,Lost
12403.0,3,1,1,1.6666666666666667,Need Attention
12405.0,2,3,4,3.0,Need Attention
12406.0,4,4,5,4.333333333333333,Champions
12407.0,3,4,5,4.0,Loyal Customers
12408.0,3,4,5,4.0,Loyal Customers
12409.0,2,4,5,3.6666666666666665,At Risk
12410.0,1,2,2,1.6666666666666667,Lost
12412.0,2,4,4,3.3333333333333335,At Risk
12413.0,3,3,3,3.0,Loyal Customers
12414.0,1,2,3,2.0,Need Attention
12415.0,4,5,5,4.666666666666667,Champions
12417.0,5,5,5,5.0,Champions
12418.0,2,3,3,2.6666666666666665,Need Attention
12420.0,3,2,3,2.6666666666666665,Need Attention
12421.0,4,3,3,3.3333333333333335,Loyal Customers
12422.0,2,3,3,2.6666666666666665,Need Attention
12423.0,5,5,5,5.0,Champions
12424.0,2,3,4,3.0,Need Attention
12425.0,2,3,3,2.6666666666666665,Need Attention
12426.0,1,3,2,2.0,Need Attention
12427.0,5,3,3,3.6666666666666665,Loyal Customers
12428.0,4,5,5,4.666666666666667,Champions
12429.0,5,4,5,4.666666666666667,Champions
12430.0,3,1,1,1.6666666666666667,Need Attention
12431.0,3,5,5,4.333333333333333,Loyal Customers
12432.0,3,4,5,4.0,Loyal Customers
12433.0,5,5,5,5.0,Champions
12434.0,2,3,3,2.6666666666666665,Need Attention
12435.0,2,3,5,3.3333333333333335,Need Attention
12436.0,2,2,2,2.0,Lost
12437.0,5,5,5,5.0,Champions
12438.0,4,4,4,4.0,Champions
12441.0,1,1,1,1.0,Lost
12442.0,5,1,2,2.6666666666666665,Potential Loyalists
12444.0,4,5,5,4.666666666666667,Champions
12445.0,4,1,1,2.0,Potential Loyalists
12446.0,3,3,3,3.0,Loyal Customers
12447.0,1,2,2,1.6666666666666667,Lost
12448.0,3,2,2,2.3333333333333335,Need Attention
12449.0,4,5,5,4.666666666666667,Champions
12450.0,2,1,1,1.3333333333333333,Lost
12451.0,5,5,5,5.0,Champions
12452.0,4,2,2,2.6666666666666665,Potential Loyalists
12453.0,2,3,3,2.6666666666666665,Need Attention
12454.0,3,3,2,2.6666666666666665,Need Attention
12455.0,2,4,5,3.6666666666666665,At Risk
12456.0,3,5,5,4.333333333333333,Loyal Customers
12457.0,3,4,4,3.6666666666666665,Loyal Customers
12458.0,3,3,3,3.0,Loyal Customers
12461.0,2,3,3,2.6666666666666665,Need Attention
12462.0,5,4,4,4.333333333333333,Champions
12463.0,3,4,4,3.6666666666666665,Loyal Customers
12464.0,5,2,3,3.3333333333333335,Potential Loyalists
12465.0,5,3,3,3.6666666666666665,Loyal Customers
12468.0,2,3,3,2.6666666666666665,Need Attention
12471.0,5,5,5,5.0,Champions
12472.0,4,5,5,4.666666666666667,Champions
12473.0,4,5,5,4.666666666666667,Champions
12474.0,4,5,5,4.666666666666667,Champions
12475.0,3,3,3,3.0,Loyal Customers
12476.0,5,5,5,5.0,Champions
12477.0,4,5,5,4.666666666666667,Champions
12478.0,5,3,3,3.6666666666666665,Loyal Customers
12479.0,5,3,3,3.6666666666666665,Loyal Customers
12480.0,4,5,5,4.666666666666667,Champions
12481.0,4,5,5,4.666666666666667,Champions
12483.0,4,4,4,4.0,Champions
12484.0,3,5,5,4.333333333333333,Loyal Customers
12488.0,5,3,3,3.6666666666666665,Loyal Customers
12489.0,1,2,1,1.3333333333333333,Lost
12490.0,5,5,5,5.0,Champions
